Name,Star Rating,Sentiment,Culture,Filtered Pros
ByteDance,2.0,bad,bad_culture,market salary  free lunch  good benefits  nice offices
ByteDance,5.0,good,,Great Perks employee benefits
ByteDance,4.0,good,,Generally good company  Fast development cycle 
ByteDance,2.0,bad,,None  Everything e place  proper system info dessemination 
ByteDance,5.0,good,, average compensation   Smart colleagues  feels awesome collaborate surrounded brightest software engineers around   Great benefits  amazing pantry  free lunch everyday  lots company swag year round  etc    contrary many reviews say  Pretty good work life balance  However  note largely helped fact re based Singapore thus exist timezone Beijing  international meetings nt happen odd hours us compared offices London Bay Area  instance 
ByteDance,5.0,good,,Love company  welfare far
ByteDance,5.0,good,,Flat management  flexible environment low cost communication
ByteDance,3.0,neutral,,Provides lunch snacks pantries
ByteDance,5.0,good,,Great welfare  fun job  pay relatively good
ByteDance,4.0,good,,Good perks working hours
ByteDance,3.0,neutral,bad_culture,Good salary good work environment 
ByteDance,4.0,good,, Decent pay  right team  nt need speak Chinese  996 Singapore team  people work 40 hours fine   Core Engineering projects SG  interesting tech infrastructure
ByteDance,3.0,neutral,,full benefits learning opportunities
ByteDance,4.0,good,good_culture,Always day one culture boost work
ByteDance,3.0,neutral,, Fast growing environment  Good perks
ByteDance,4.0,good,,Lots swags Attractive pay Interesting business WLB still better Chinese companies Singapore Good opportunity improve Chinese interested
ByteDance,5.0,good,good_culture,Good team culture flexible hours
ByteDance,1.0,bad,bad_culture,NA  none mention 
ByteDance,5.0,good,,Good pay  good opportunity grow  good appreciation 
ByteDance,5.0,good,,1  office tools used WFH diverse efficient  2  Many colleagues overseas study background overseas work experiencce culturally open inclusive  3  Anyone works company needs focus getting things done way collaboration direct effective 
ByteDance,5.0,good,good_culture,Good culture  great team good benefits 
ByteDance,5.0,good,,people sooo nice team  enjoy working
ByteDance,5.0,good,good_culture,flexible working culture  good benefits
ByteDance,4.0,good,,Good boss Modern tech tools Free lunch
ByteDance,4.0,good,,chill vibes  Decent remuneration
ByteDance,4.0,good,,Convenient location  snacks  decent pay
ByteDance,5.0,good,,Good pay  good people  good enviroment
ByteDance,4.0,good,,young company  lot challenges ByteDance wont find companies scale  means usually challenging exciting work  things always moving fast 
ByteDance,4.0,good,,team members good really learn things 
ByteDance,4.0,good,,Good WLB Good leaders stakeholder
ByteDance,5.0,good,,effective management system  motivated grow far company
ByteDance,4.0,good,,team atmosphere good
ByteDance,2.0,bad,,Friendly teammates Supportive direct Known team strategy  department level strategy
ByteDance,3.0,neutral,good_culture, Lots smart people joining company  Work culture depends team  Great benefits
ByteDance,4.0,good,,Good learning experience understand monetization works
ByteDance,3.0,neutral,,Amazing benefits packages offered
ByteDance,5.0,good,,Good salary  nice office  free food 
ByteDance,2.0,bad,,micromanaging required OT Plenty benefits  swags  care package  gifts etc
ByteDance,5.0,good,,Awesome Culture  Flat structure  feels like m university
ByteDance,5.0,good,,Great benefit  salary  colleagues etc
ByteDance,1.0,bad,,Worst place work  Every form communication Chinese
ByteDance,5.0,good,,Nice environment helpful colleagues
ByteDance,4.0,good,,fase paced  good colleagues  interesting scope
ByteDance,4.0,good,,Competitive compensation package Autonomy trust based
ByteDance,3.0,neutral,,Talented coworkers Great benefits Great starting salary
ByteDance,3.0,neutral,,good benefits  skilled coworkers  exposed cuttingedged techs
ByteDance,4.0,good,good_culture,Strong culture adherence values  collaborative fastpaced 
ByteDance,3.0,neutral,,ByteDance good company
ByteDance,4.0,good,,open fastpaced  surrounded talents
ByteDance,4.0,good,,Good salary good benefits
ByteDance,1.0,bad,,efficient agile pushing things
ByteDance,5.0,good,,Teams super open minded always welcome new ideas really promotes growth  Love always day 1 mindset keep every one toes 
ByteDance,5.0,good,,pressure  flexible schedule life
ByteDance,4.0,good,good_culture,Love flexibility  996 culture  good compensation welfare 
ByteDance,5.0,good,,Fun  encouraging team great remuneration
ByteDance,3.0,neutral,,lots opportunities growth
ByteDance,3.0,neutral,good_culture, Fast pace culture  Ownership accountability  See fruits labour
ByteDance,3.0,neutral,,modern technology stack  decent internal framework support  decent compensation competent teammates
ByteDance,3.0,neutral,,unicorn unicorn tech company 
ByteDance,3.0,neutral,,china company tiktok mlbb
ByteDance,3.0,neutral,,Fastpaced  high growth  engineering quality
ByteDance,3.0,neutral,,Good business prospects beautiful office
ByteDance,5.0,good,,Great place learn grow
ByteDance,2.0,bad,,Young fast growing company  Lots opportunities
ByteDance,4.0,good,,Fastpace life  benefits free lunch
ByteDance,4.0,good,,Fast growing environment anyone likes challenge Supportive management good working environment
ByteDance,2.0,bad,,benefit compensation benefits competitive good 
ByteDance,3.0,neutral,,Colleges clever nice  rookie learn lot
ByteDance,5.0,good,good_culture, good culture nice people  good benefits
ByteDance,4.0,good,,Kind freedom burnout
ByteDance,3.0,neutral,,Enjoy work alot  Chinabased teammates make effort speak much English  even fluent  Growing Singaporebased teams  Lark autotranslation works time documents 
ByteDance,4.0,good,good_culture,SG  wlb okay  team culture various team team  would said currently feel satisfy 
ByteDance,2.0,bad,,give freebies regularly free lunch
ByteDance,5.0,good,good_culture,Company benefits good  culture nice
ByteDance,5.0,good,,Talent Acquisition Partner guides candidate process set interviews convenient times  process takes week s time right fit  Extended support guidance given applying workpass expat  uptodate communication HRBP workpass application team kept email   Always Day 1  ByteDance  strive support  Everyone simply celebrates individual brings table  Overall smooth swift hiring experience 
ByteDance,5.0,good,good_culture,Competitive salary benefits  Nice working culture coworkers
ByteDance,4.0,good,,nottoobad package  benefit  expanding really quick globally  chance get board rocket
ByteDance,5.0,good,,Benefits getting better better year  s slowly becoming international company hiring key positions outside China  HQ based China  however  giving autonomy growth expansion s nonChina business  s great time join 
ByteDance,4.0,good,good_culture, challenging  suitable people want sharpen skill  reasonable salary  open culture
ByteDance,1.0,bad,bad_culture,decent pay  free deliver voucher lunch  free snacks  many freebies festival
ByteDance,5.0,good,,employee benefit company  healthy environment women s well 
ByteDance,4.0,good,,Many resources GPUs  benefit overall quite decent compared companies
ByteDance,3.0,neutral,,Things move fast efficient
ByteDance,5.0,good,,excellent company internet short video
ByteDance,4.0,good,,lots perks activity
ByteDance,3.0,neutral,, smart people  interesting challenging projects
ByteDance,4.0,good,,Good benefits  fairly competitive salary 
ByteDance,5.0,good,,whole interview process made seamless using various online conferencing tools  Communications follow various stages interview made promptly  impressed talent acquisition team 
ByteDance,5.0,good,,Good work  life balance  modern technologies  good team
ByteDance,4.0,good,bad_culture,compensation ok  reputation high
ByteDance,3.0,neutral,,Flat hierarchy  decent compensation great benefits  insurance coverage  18 days leave start goodie bag every festive occasion  
ByteDance,4.0,good,,management pretty good  team engineers brilliant  Lots learning opportunities flexibility changing teams 
ByteDance,5.0,good,,Fun Companionship  Safety  Tradition Part family
ByteDance,3.0,neutral,,company growing  lots opportunity 
ByteDance,4.0,good,good_culture,pretty fastpaced environment  also sporadically con pro  work challenging inspires learn  Overall decent engineering culture 
ByteDance,5.0,good,,Good interesting projects motivated colleagues
ByteDance,5.0,good,,leaders motivate go push envelop  get autonomy make decisions take risks  Great coworkers  Everyone super motivated
ByteDance,3.0,neutral,,high growth company
ByteDance,2.0,bad,good_culture,Fast growing company  Challenging job  learn lot  Flat organization  Young culture  Salary fine nt counts hours 
ByteDance,5.0,good,,Bytedance good company
ByteDance,5.0,good,,good company career growth
ByteDance,3.0,neutral,,Good growth Good benefits Fast moving company
ByteDance,5.0,good,,Lots interesting work company diversifying business 
ByteDance,5.0,good,,Great TC benefits people 
ByteDance,5.0,good,good_culture,Free snacks  great working culture  Lots learning development opportunities
ByteDance,5.0,good,good_culture,great culture values  nice food
ByteDance,5.0,good,,Innovative dynamic young team  big family taking care everyone within 
ByteDance,4.0,good,,decent salary level
ByteDance,4.0,good,,Good company join  fast paced environment 
ByteDance,5.0,good,,Agile fast moving tech company 
ByteDance,3.0,neutral,,Great benefits flexibility Nice office innovative
ByteDance,5.0,good,good_culture,Good salary  benefit  working culture  project
ByteDance,3.0,neutral,,good benefits company events mingling
ByteDance,5.0,good,,1  Good benefit 2  Great career growth
ByteDance,4.0,good,,1  Relatively high pay compared local companies 2  Headstart career
ByteDance,4.0,good,,Lots learn  company really takes care employees
ByteDance,1.0,bad,,Good smart people collaborate
ByteDance,3.0,neutral,,Learn many different emerging tech
ByteDance,4.0,good,,great company future career advancement
ByteDance,1.0,bad,,free food drink  fast paced
ByteDance,5.0,good,, Large Platform  Chanllenging jobs
ByteDance,2.0,bad,, Large Platform  Chanllenging jobs
